Trace3,
Freq,,Amp,,
              324772,Hz,              -82.03, dBm,
              324906,Hz,              -82.07, dBm,
              325040,Hz,              -82.15, dBm,
              325174,Hz,              -82.20, dBm,
              325308,Hz,              -82.20, dBm,
              325442,Hz,              -82.16, dBm,
              325576,Hz,              -82.08, dBm,
              325710,Hz,              -81.93, dBm,
              325844,Hz,              -81.83, dBm,
              325978,Hz,              -81.79, dBm,
              326112,Hz,              -81.75, dBm,
              326246,Hz,              -81.75, dBm,
              326380,Hz,              -81.75, dBm,
              326514,Hz,              -81.75, dBm,
              326648,Hz,              -81.79, dBm,
              326782,Hz,              -81.78, dBm,
              326916,Hz,              -81.77, dBm,
              327050,Hz,              -81.75, dBm,
              327184,Hz,              -81.74, dBm,
              327318,Hz,              -81.79, dBm,
              327452,Hz,              -81.84, dBm,
              327586,Hz,              -81.92, dBm,
              327720,Hz,              -82.01, dBm,
              327854,Hz,              -82.05, dBm,
              327988,Hz,              -82.07, dBm,
              328122,Hz,              -82.08, dBm,
              328256,Hz,              -82.04, dBm,
              328390,Hz,              -81.94, dBm,
              328524,Hz,              -81.84, dBm,
              328658,Hz,              -81.78, dBm,
              328792,Hz,              -81.72, dBm,
              328926,Hz,              -81.70, dBm,
              329060,Hz,              -81.69, dBm,
              329194,Hz,              -81.69, dBm,
              329328,Hz,              -81.77, dBm,
              329462,Hz,              -81.82, dBm,
              329596,Hz,              -81.90, dBm,
              329730,Hz,              -81.99, dBm,
              329864,Hz,              -82.04, dBm,
              329998,Hz,              -82.11, dBm,
              330132,Hz,              -82.22, dBm,
              330266,Hz,              -82.29, dBm,
              330400,Hz,              -82.34, dBm,
