Trace2,
Freq,,Amp,,
               28054,Hz,              -68.57, dBm,
               28135,Hz,              -68.56, dBm,
               28216,Hz,              -68.55, dBm,
               28297,Hz,              -68.53, dBm,
               28378,Hz,              -68.50, dBm,
               28459,Hz,              -68.46, dBm,
               28540,Hz,              -68.40, dBm,
               28621,Hz,              -68.33, dBm,
               28702,Hz,              -68.29, dBm,
               28783,Hz,              -68.25, dBm,
               28864,Hz,              -68.21, dBm,
               28945,Hz,              -68.15, dBm,
               29026,Hz,              -68.07, dBm,
               29107,Hz,              -67.98, dBm,
               29188,Hz,              -67.88, dBm,
               29269,Hz,              -67.79, dBm,
               29350,Hz,              -67.71, dBm,
               29431,Hz,              -67.64, dBm,
               29512,Hz,              -67.59, dBm,
               29593,Hz,              -67.55, dBm,
               29674,Hz,              -67.53, dBm,
               29755,Hz,              -67.53, dBm,
               29836,Hz,              -67.56, dBm,
               29917,Hz,              -67.62, dBm,
               29998,Hz,              -67.70, dBm,
               30079,Hz,              -67.79, dBm,
               30160,Hz,              -67.90, dBm,
               30241,Hz,              -68.01, dBm,
               30322,Hz,              -68.15, dBm,
               30403,Hz,              -68.28, dBm,
               30484,Hz,              -68.42, dBm,
               30565,Hz,              -68.55, dBm,
               30646,Hz,              -68.67, dBm,
               30727,Hz,              -68.78, dBm,
               30808,Hz,              -68.88, dBm,
               30889,Hz,              -68.97, dBm,
               30970,Hz,              -69.03, dBm,
               31051,Hz,              -69.09, dBm,
               31132,Hz,              -69.16, dBm,
               31213,Hz,              -69.22, dBm,
               31294,Hz,              -69.27, dBm,
               31375,Hz,              -69.31, dBm,
               31456,Hz,              -69.36, dBm,
               31537,Hz,              -69.41, dBm,
               31618,Hz,              -69.45, dBm,
               31699,Hz,              -69.48, dBm,
               31780,Hz,              -69.48, dBm,
               31861,Hz,              -69.48, dBm,
               31942,Hz,              -69.45, dBm,
               32023,Hz,              -69.42, dBm,
               32104,Hz,              -69.40, dBm,
               32185,Hz,              -69.40, dBm,
               32266,Hz,              -69.41, dBm,
               32347,Hz,              -69.44, dBm,
               32428,Hz,              -69.50, dBm,
               32509,Hz,              -69.57, dBm,
               32590,Hz,              -69.66, dBm,
               32671,Hz,              -69.76, dBm,
               32752,Hz,              -69.86, dBm,
               32833,Hz,              -69.94, dBm,
               32914,Hz,              -70.02, dBm,
               32995,Hz,              -70.07, dBm,
               33076,Hz,              -70.10, dBm,
               33157,Hz,              -70.11, dBm,
               33238,Hz,              -70.11, dBm,
               33319,Hz,              -70.11, dBm,
               33400,Hz,              -70.11, dBm,
               33481,Hz,              -70.13, dBm,
               33562,Hz,              -70.12, dBm,
               33643,Hz,              -70.10, dBm,
               33724,Hz,              -70.04, dBm,
               33805,Hz,              -69.98, dBm,
               33886,Hz,              -69.91, dBm,
               33967,Hz,              -69.85, dBm,
               34048,Hz,              -69.83, dBm,
               34129,Hz,              -69.82, dBm,
               34210,Hz,              -69.83, dBm,
               34291,Hz,              -69.84, dBm,
               34372,Hz,              -69.86, dBm,
               34453,Hz,              -69.87, dBm,
               34534,Hz,              -69.88, dBm,
               34615,Hz,              -69.89, dBm,
               34696,Hz,              -69.91, dBm,
               34777,Hz,              -69.94, dBm,
               34858,Hz,              -69.96, dBm,
               34939,Hz,              -69.98, dBm,
               35020,Hz,              -69.99, dBm,
               35101,Hz,              -70.00, dBm,
               35182,Hz,              -70.02, dBm,
               35263,Hz,              -70.02, dBm,
               35344,Hz,              -70.01, dBm,
               35425,Hz,              -69.98, dBm,
               35506,Hz,              -69.90, dBm,
               35587,Hz,              -69.79, dBm,
               35668,Hz,              -69.64, dBm,
               35749,Hz,              -69.45, dBm,
               35830,Hz,              -69.25, dBm,
               35911,Hz,              -69.04, dBm,
               35992,Hz,              -68.84, dBm,
               36073,Hz,              -68.64, dBm,
               36154,Hz,              -68.47, dBm,
               36235,Hz,              -68.35, dBm,
               36316,Hz,              -68.28, dBm,
               36397,Hz,              -68.27, dBm,
               36478,Hz,              -68.30, dBm,
               36559,Hz,              -68.37, dBm,
               36640,Hz,              -68.46, dBm,
               36721,Hz,              -68.56, dBm,
               36802,Hz,              -68.68, dBm,
               36883,Hz,              -68.82, dBm,
               36964,Hz,              -68.97, dBm,
               37045,Hz,              -69.15, dBm,
               37126,Hz,              -69.35, dBm,
               37207,Hz,              -69.56, dBm,
               37288,Hz,              -69.76, dBm,
               37369,Hz,              -69.96, dBm,
               37450,Hz,              -70.17, dBm,
               37531,Hz,              -70.36, dBm,
               37612,Hz,              -70.54, dBm,
               37693,Hz,              -70.69, dBm,
               37774,Hz,              -70.81, dBm,
               37855,Hz,              -70.91, dBm,
               37936,Hz,              -70.98, dBm,
               38017,Hz,              -71.02, dBm,
               38098,Hz,              -71.05, dBm,
               38179,Hz,              -71.06, dBm,
               38260,Hz,              -71.06, dBm,
               38341,Hz,              -71.05, dBm,
               38422,Hz,              -71.03, dBm,
               38503,Hz,              -71.01, dBm,
               38584,Hz,              -70.97, dBm,
               38665,Hz,              -70.91, dBm,
               38746,Hz,              -70.84, dBm,
               38827,Hz,              -70.78, dBm,
               38908,Hz,              -70.73, dBm,
               38989,Hz,              -70.70, dBm,
               39070,Hz,              -70.69, dBm,
               39151,Hz,              -70.69, dBm,
               39232,Hz,              -70.71, dBm,
               39313,Hz,              -70.74, dBm,
               39394,Hz,              -70.80, dBm,
               39475,Hz,              -70.88, dBm,
               39556,Hz,              -70.99, dBm,
               39637,Hz,              -71.10, dBm,
               39718,Hz,              -71.22, dBm,
               39799,Hz,              -71.32, dBm,
               39880,Hz,              -71.40, dBm,
               39961,Hz,              -71.45, dBm,
               40042,Hz,              -71.45, dBm,
               40123,Hz,              -71.43, dBm,
               40204,Hz,              -71.38, dBm,
               40285,Hz,              -71.31, dBm,
               40366,Hz,              -71.23, dBm,
               40447,Hz,              -71.13, dBm,
               40528,Hz,              -71.03, dBm,
               40609,Hz,              -70.94, dBm,
               40690,Hz,              -70.87, dBm,
               40771,Hz,              -70.82, dBm,
               40852,Hz,              -70.79, dBm,
               40933,Hz,              -70.79, dBm,
               41014,Hz,              -70.80, dBm,
               41095,Hz,              -70.83, dBm,
               41176,Hz,              -70.88, dBm,
               41257,Hz,              -70.95, dBm,
               41338,Hz,              -71.01, dBm,
               41419,Hz,              -71.07, dBm,
               41500,Hz,              -71.11, dBm,
               41581,Hz,              -71.13, dBm,
               41662,Hz,              -71.13, dBm,
               41743,Hz,              -71.10, dBm,
               41824,Hz,              -71.06, dBm,
               41905,Hz,              -71.02, dBm,
               41986,Hz,              -70.97, dBm,
               42067,Hz,              -70.93, dBm,
               42148,Hz,              -70.87, dBm,
               42229,Hz,              -70.82, dBm,
               42310,Hz,              -70.77, dBm,
               42391,Hz,              -70.74, dBm,
               42472,Hz,              -70.72, dBm,
               42553,Hz,              -70.72, dBm,
               42634,Hz,              -70.76, dBm,
               42715,Hz,              -70.83, dBm,
               42796,Hz,              -70.94, dBm,
               42877,Hz,              -71.06, dBm,
               42958,Hz,              -71.18, dBm,
               43039,Hz,              -71.32, dBm,
               43120,Hz,              -71.45, dBm,
               43201,Hz,              -71.56, dBm,
               43282,Hz,              -71.64, dBm,
               43363,Hz,              -71.69, dBm,
               43444,Hz,              -71.69, dBm,
               43525,Hz,              -71.66, dBm,
               43606,Hz,              -71.61, dBm,
               43687,Hz,              -71.54, dBm,
               43768,Hz,              -71.47, dBm,
               43849,Hz,              -71.42, dBm,
               43930,Hz,              -71.41, dBm,
               44011,Hz,              -71.41, dBm,
               44092,Hz,              -71.42, dBm,
               44173,Hz,              -71.45, dBm,
               44254,Hz,              -71.49, dBm,
               44335,Hz,              -71.57, dBm,
               44416,Hz,              -71.69, dBm,
               44497,Hz,              -71.82, dBm,
               44578,Hz,              -71.96, dBm,
               44659,Hz,              -72.08, dBm,
               44740,Hz,              -72.18, dBm,
               44821,Hz,              -72.28, dBm,
               44902,Hz,              -72.36, dBm,
               44983,Hz,              -72.43, dBm,
               45064,Hz,              -72.50, dBm,
               45145,Hz,              -72.56, dBm,
               45226,Hz,              -72.61, dBm,
               45307,Hz,              -72.63, dBm,
               45388,Hz,              -72.66, dBm,
               45469,Hz,              -72.68, dBm,
               45550,Hz,              -72.70, dBm,
               45631,Hz,              -72.71, dBm,
               45712,Hz,              -72.69, dBm,
               45793,Hz,              -72.67, dBm,
               45874,Hz,              -72.66, dBm,
               45955,Hz,              -72.63, dBm,
               46036,Hz,              -72.57, dBm,
               46117,Hz,              -72.50, dBm,
               46198,Hz,              -72.42, dBm,
               46279,Hz,              -72.33, dBm,
               46360,Hz,              -72.23, dBm,
               46441,Hz,              -72.15, dBm,
               46522,Hz,              -72.11, dBm,
               46603,Hz,              -72.12, dBm,
               46684,Hz,              -72.14, dBm,
               46765,Hz,              -72.15, dBm,
               46846,Hz,              -72.16, dBm,
               46927,Hz,              -72.17, dBm,
               47008,Hz,              -72.19, dBm,
               47089,Hz,              -72.23, dBm,
               47170,Hz,              -72.27, dBm,
               47251,Hz,              -72.32, dBm,
               47332,Hz,              -72.36, dBm,
               47413,Hz,              -72.39, dBm,
               47494,Hz,              -72.38, dBm,
               47575,Hz,              -72.34, dBm,
               47656,Hz,              -72.27, dBm,
               47737,Hz,              -72.19, dBm,
               47818,Hz,              -72.08, dBm,
               47899,Hz,              -71.95, dBm,
               47980,Hz,              -71.80, dBm,
               48061,Hz,              -71.64, dBm,
               48142,Hz,              -71.48, dBm,
               48223,Hz,              -71.33, dBm,
               48304,Hz,              -71.19, dBm,
               48385,Hz,              -71.07, dBm,
               48466,Hz,              -70.98, dBm,
               48547,Hz,              -70.94, dBm,
               48628,Hz,              -70.93, dBm,
               48709,Hz,              -70.96, dBm,
               48790,Hz,              -71.04, dBm,
               48871,Hz,              -71.15, dBm,
               48952,Hz,              -71.29, dBm,
               49033,Hz,              -71.44, dBm,
               49114,Hz,              -71.60, dBm,
               49195,Hz,              -71.76, dBm,
               49276,Hz,              -71.92, dBm,
               49357,Hz,              -72.06, dBm,
               49438,Hz,              -72.21, dBm,
               49519,Hz,              -72.37, dBm,
               49600,Hz,              -72.52, dBm,
